show_id,title,director,rating,type,date_added,release_year,description
s6201,The Carter Effect,Sean Menard,TV-MA,Movie,2018-05-01,2017,"Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene."
s6202,The Case for Christ,Jon Gunn,TV-PG,Movie,2017-11-21,2017,"Bothered by his wife''s unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith."
s6204,The Cat in the Hat Knows a Lot About That!,Tony Collingwood,TV-Y,TV Show,2021-01-01,2014,"The Cat in the Hat is back – and this time, he''s teaching Sally and her brother, Nick, some awfully nifty things to think about!"
s6205,The Cell,Tarek Al Eryan,TV-MA,Movie,2019-06-13,2017,A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.
s6206,The CEO,Kunle Afolayan,TV-14,Movie,2019-09-01,2016,A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive.
s6210,The Charnel House,Craig Moss,R,Movie,2017-02-04,2016,"After an architect transforms a slaughterhouse into trendy lofts, its new inhabitants discover that the structure is haunted by its evil past."
s6214,The Chord,Magdy Al-Hawwary,TV-MA,Movie,2019-06-20,2010,"A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions."
s6215,The Chosen,Antonio Chavarrías,TV-14,Movie,2017-04-14,2016,"In 1937, Spanish revolutionary Ramón trains as a Soviet spy, impersonating a wealthy Belgian as part of a plot to assassinate Leon Trotsky in Mexico."
s6216,The Chosen One,Michel Tikhomiroff,TV-MA,TV Show,2019-12-06,2019,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult."
s6217,The Chosen Ones,David Pablos,TV-MA,Movie,2016-05-08,2015,"Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family''s prostitution ring. Now he''ll do anything to rescue her."
s6218,The Christmas Candle,John Stephenson,PG,Movie,2019-11-01,2013,A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents.
s6219,The Christmas Chronicles,Clay Kaytis,TV-PG,Movie,2018-11-22,2018,"After accidentally crashing Santa''s sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
s6220,The Christmas Chronicles: Part Two,Chris Columbus,PG,Movie,2020-11-25,2020,"Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas."
s6221,The Christmas Project,Michael Buster,TV-PG,Movie,2019-03-01,2016,Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way.
s6222,The Cincinnati Kid,Norman Jewison,TV-14,Movie,2019-11-01,1965,"In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey The Man Howard to a showdown at the table, where a war of wills – and nerve – ensues."
s6226,The Clapper,Dito Montiel,R,Movie,2018-05-01,2017,"A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he''s thrust into the spotlight."
s6228,The Climb,Ludovic Bernard,TV-14,Movie,2017-12-29,2017,A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves – and slowly becomes a media sensation.
s6229,The Cloverfield Paradox,Julius Onah,PG-13,Movie,2018-02-05,2018,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
s6232,The Coldest Game,Lukasz Kosmicki,TV-MA,Movie,2020-02-08,2019,"During 1962’s Cuban missile crisis, a troubled math genius finds himself drafted to play in a U.S.-Soviet chess match – and a deadly game of espionage."
s6234,The Command,Thomas Vinterberg,PG-13,Movie,2019-10-19,2018,For the crew trapped aboard a sunken Russian submarine the deadliest threat is the bureaucracy on land. Based on a true story.
s6235,The Company Men,John Wells,R,Movie,2018-07-28,2010,A successful businessman comes face-to-face with America's downsizing epidemic when he loses his job and is forced to take a construction gig.
s6236,The Competition,Harvey Lowry,TV-14,Movie,2019-07-23,2018,"After developing an infidelity formula said to repel cheating, a popular blogger crosses paths with a charming lawyer willing to put it to the test."
s6237,The Con Is On,James Haslam,R,Movie,2020-12-21,2018,Two wedded partners-in-crime flee from their massive debt to a deadly crime boss and hatch a jewel heist that could be their ticket to total freedom.
s6240,The Confirmation,Bob Nelson,PG-13,Movie,2019-02-06,2016,A divorced handyman with a drinking problem bonds with his 8-year-old son when a search for his stolen toolbox leads to a series of misadventures.
s6242,The Congress,Ari Folman,TV-MA,Movie,2019-08-23,2013,Actress Robin Wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films.
s6243,The Conjuring,James Wan,R,Movie,2018-01-08,2013,"Based on true events, this spine-chiller tells the story of a New England family who begins having encounters with spirits in their farmhouse."
s6244,The Consul's Son,Amr Arafa,TV-14,Movie,2019-04-25,2011,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.
s6246,The Craft,Andrew Fleming,R,Movie,2020-01-01,1996,"At a Catholic school, a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them, even their parents."
s6248,The Creative Brain,"Jennifer Beamish, Toby Trackman",TV-14,Movie,2021-01-01,2019,"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity."
s6517,The Jane Austen Book Club,Robin Swicord,PG-13,Movie,2019-03-08,2007,Six book club members find their lives resemble a modern-day version of Jane Austen's novels in this drama.
s6250,The Crew,Julien Leclercq,TV-MA,Movie,2018-11-15,2015,"After an unexpected misstep, a crew of skilled Parisian robbers find themselves forced to carry out a daring heist for a powerful crime organization."
s6252,The Crimes That Bind,Sebastián Schindel,TV-14,Movie,2020-08-20,2020,"When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever."
s6253,The Croods,"Kirk De Micco, Chris Sanders",PG,Movie,2019-07-29,2013,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home."
s6254,The Crow,Alex Proyas,R,Movie,2019-01-01,1994,"One year after Eric Draven and his fiancée are murdered, Draven – watched over by a hypnotic crow – returns from the grave to exact revenge."
s6256,The Cruise,Marek Piwowski,TV-PG,Movie,2019-10-01,1970,"When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue."
s6257,The Crying Game,Neil Jordan,R,Movie,2020-01-01,1992,"IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love."
s6258,The Crystal Calls Making the Dark Crystal: Age of Resistance,Randall Lobb,TV-PG,Movie,2019-09-14,2019,"Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson''s magical world of Thra back to life in a sweeping fantasy series."
s6262,The D Train,"Jarrad Paul, Andrew Mogel",R,Movie,2017-04-02,2015,A loser in charge of planning his high school class's 20-year reunion thinks he's scored a major coup when he gets a marginally famous alum to attend.
s6263,The Da Vinci Code,Ron Howard,PG-13,Movie,2020-12-01,2006,"When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci."
s6264,The Damned Rain,Satish Manwar,TV-14,Movie,2018-01-01,2009,"An optimistic farmer is determined to succeed in spite of the lack of rain in his region, and the sinking spirits around him."
s6265,The Dancer,Ifa Isfansyah,TV-MA,Movie,2018-12-08,2011,"Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer."
